"Subject" "Activity" "tbodyaccmeanx" "tbodyaccmeany" "tbodyaccmeanz" "tbodyaccstdx" "tbodyaccstdy" "tbodyaccstdz" "tgravityaccmeanx" "tgravityaccmeany" "tgravityaccmeanz" "tgravityaccstdx" "tgravityaccstdy" "tgravityaccstdz" "tbodyaccjerkmeanx" "tbodyaccjerkmeany" "tbodyaccjerkmeanz" "tbodyaccjerkstdx" "tbodyaccjerkstdy" "tbodyaccjerkstdz" "tbodygyromeanx" "tbodygyromeany" "tbodygyromeanz" "tbodygyrostdx" "tbodygyrostdy" "tbodygyrostdz" "tbodygyrojerkmeanx" "tbodygyrojerkmeany" "tbodygyrojerkmeanz" "tbodygyrojerkstdx" "tbodygyrojerkstdy" "tbodygyrojerkstdz" "tbodyaccmagmean" "tbodyaccmagstd" "tgravityaccmagmean" "tgravityaccmagstd" "tbodyaccjerkmagmean" "tbodyaccjerkmagstd" "tbodygyromagmean" "tbodygyromagstd" "tbodygyrojerkmagmean" "tbodygyrojerkmagstd" "fbodyaccmeanx" "fbodyaccmeany" "fbodyaccmeanz" "fbodyaccstdx" "fbodyaccstdy" "fbodyaccstdz" "fbodyaccmeanfreqx" "fbodyaccmeanfreqy" "fbodyaccmeanfreqz" "fbodyaccjerkmeanx" "fbodyaccjerkmeany" "fbodyaccjerkmeanz" "fbodyaccjerkstdx" "fbodyaccjerkstdy" "fbodyaccjerkstdz" "fbodyaccjerkmeanfreqx" "fbodyaccjerkmeanfreqy" "fbodyaccjerkmeanfreqz" "fbodygyromeanx" "fbodygyromeany" "fbodygyromeanz" "fbodygyrostdx" "fbodygyrostdy" "fbodygyrostdz" "fbodygyromeanfreqx" "fbodygyromeanfreqy" "fbodygyromeanfreqz" "fbodyaccmagmean" "fbodyaccmagstd" "fbodyaccmagmeanfreq" "fbodybodyaccjerkmagmean" "fbodybodyaccjerkmagstd" "fbodybodyaccjerkmagmeanfreq" "fbodybodygyromagmean" "fbodybodygyromagstd" "fbodybodygyromagmeanfreq" "fbodybodygyrojerkmagmean" "fbodybodygyrojerkmagstd" "fbodybodygyrojerkmagmeanfreq" "angletbodyaccmeangravity" "angletbodyaccjerkmeangravitymean" "angletbodygyromeangravitymean" "angletbodygyrojerkmeangravitymean" "anglexgravitymean" "angleygravitymean" "anglezgravitymean"
1 "walking" 0.269721386631579 -0.0165696295221053 -0.106738425771579 -0.776096502485263 -0.671230637126316 -0.733379730842105 0.592648796494737 0.0223900814947368 0.0982119403715789 -0.979263613578947 -0.969611259684211 -0.958994743578947 0.0958269511570526 0.00639662826094737 -0.00705967702870526 -0.783833876736842 -0.740415484777895 -0.842190027294737 -0.0366855582515789 -0.0722383056168421 0.06831461276 -0.825857718421053 -0.773563316863158 -0.744504311052632 -0.0931925643983895 -0.0531448293450526 -0.0493600193273684 -0.828564938810526 -0.844949903157895 -0.836514897273684 -0.718788337761053 -0.761439889494737 -0.718788337761053 -0.761439889494737 -0.779490817822105 -0.76596199918421 -0.736286358555895 -0.7675333894 -0.840973971684211 -0.8416316094 -0.780163937052632 -0.694980327934737 -0.771879617789474 -0.775624490303158 -0.680209554798947 -0.734549809231579 -0.165863473032632 0.0292635769641053 0.0671276632315789 -0.795810611673684 -0.754646819768421 -0.827372673684211 -0.791100356568421 -0.743275646147368 -0.855842463263158 0.0471967170610526 -0.138820601701053 -0.0714187629673684 -0.790869932663158 -0.788481847178947 -0.754131391978947 -0.837910066515789 -0.768065845261684 -0.765794154905263 -0.104648834794842 -0.241237957851579 -0.107691300609474 -0.753085611737895 -0.803901586115789 0.0481898799396842 -0.764751504968421 -0.769450234842105 0.203364569363158 -0.790460172315789 -0.793884995073684 -0.0949209159824211 -0.843306668105263 -0.850959439873684 0.141757654205263 0.0438735196552632 -0.0151310000757895 0.0563343288136842 -0.0398661019189474 -0.404656480157895 0.0510689620452632 -0.0632284694581053
1 "walking_upstairs" 0.270144188113208 -0.0188333746633962 -0.107269472803774 -0.795078849924528 -0.691122314735849 -0.777070249811321 0.571913261132076 0.0231972445471698 0.212063311113208 -0.978274571132075 -0.967735539433962 -0.955888923584906 0.073439111990566 0.0197320119088679 -0.0101174062045283 -0.785086667830189 -0.754877226377359 -0.853737850566038 -0.0355410697698113 -0.0674653184075472 0.0554763331858491 -0.830724232641509 -0.795504559 -0.799898388301887 -0.10303754045283 -0.0278559449339623 -0.0476307776641509 -0.82715805890566 -0.841284574113208 -0.846920440213208 -0.748390099637736 -0.766662213698113 -0.748390099637736 -0.766662213698113 -0.788510038962264 -0.770437337169811 -0.763537443981132 -0.783454876320755 -0.840501569018868 -0.837310011509434 -0.79377979130566 -0.717409602509434 -0.801136233350943 -0.796658356245283 -0.697495129773585 -0.782194807169811 -0.167207562811321 0.0278505329188679 0.0847457070383019 -0.791822297358491 -0.773003041964151 -0.841478316603774 -0.797969707886792 -0.752575328962264 -0.864875516735849 0.0934171162132075 -0.126171619539623 -0.0298894945867925 -0.797207916037736 -0.804029850679245 -0.794158802490566 -0.842572329245283 -0.793417951745283 -0.820795859490566 -0.124299746660377 -0.190165985509434 0.010471412 -0.760024138773585 -0.807236297226415 0.0677428098509434 -0.770436635226415 -0.772018464301887 0.195902472584906 -0.801859087849057 -0.810387863207547 -0.0754447283169811 -0.845616670622642 -0.838462433339623 0.109967200679245 0.0420153703179245 0.00492109347566038 0.0970478543018868 -0.0405612289433962 -0.396416569056604 0.0544697819245283 -0.152255572273585
1 "walking_downstairs" 0.270035043469388 -0.0209169467632653 -0.108218848040816 -0.696129646612245 -0.590966634979592 -0.657588336530612 0.586636881020408 0.0875605640532653 0.120609047938776 -0.978618874285714 -0.966487993673469 -0.96411518877551 0.0636267274285714 0.0118429708743469 -0.0102024552510204 -0.693776391108163 -0.64079218762449 -0.79288246344898 -0.0212721488142857 -0.0842492825714286 0.0716455593040816 -0.748883687571429 -0.69733603855102 -0.690674253918367 -0.104423493814286 -0.0473525463877551 -0.0613568378612245 -0.76069199422449 -0.788976967081633 -0.774849490734694 -0.638890142755102 -0.666346601244898 -0.638890142755102 -0.666346601244898 -0.700389956163265 -0.659644609755102 -0.653242590020408 -0.700645207938775 -0.782384215428571 -0.779058228628571 -0.69242312844898 -0.602177574693878 -0.714285686518367 -0.698528153877551 -0.612602573346939 -0.655133823428571 -0.173093172518367 0.0755114050408163 0.0547870663810204 -0.708314373553061 -0.65833116355102 -0.775167740359184 -0.706977029918367 -0.646945019367347 -0.80934304244898 -0.020543643 -0.138487201428571 -0.107530878555102 -0.718567239608163 -0.716884636163265 -0.685666989346939 -0.760973476571429 -0.69112909255102 -0.721844934081633 -0.0645285110653061 -0.142186624632653 -0.0732488820638776 -0.65288466144898 -0.726455426285714 0.0932614297020408 -0.657992744877551 -0.663937772918367 0.185665681608163 -0.726589720142857 -0.736874002834694 -0.0383618385244898 -0.784242948510204 -0.788291976938776 0.107983464732653 0.0472824194183673 0.048717295244898 0.0445754191020408 -0.0124093041734694 -0.431189814285714 -0.00117445446938776 -0.078516661877551
1 "sitting" 0.269244465957447 -0.0170035094234043 -0.111779362 -0.79138097527234 -0.718538066468085 -0.770856752425532 0.508642031489362 0.0936449523510638 0.205076885385957 -0.982526366170213 -0.972000226808511 -0.953800468723404 0.0906417798234043 0.0135862760892553 -0.00698318855 -0.797183207617021 -0.773132822893617 -0.861371119404255 -0.0431310187851064 -0.0752064847234043 0.0936912632765957 -0.829473205829787 -0.828758318391489 -0.808006079021277 -0.0995252819106383 -0.0571690298797872 -0.0355947816978723 -0.850552833808511 -0.890654248297872 -0.866357983404255 -0.749105383765957 -0.780368305808511 -0.749105383765957 -0.780368305808511 -0.798516602617021 -0.793902719553191 -0.776555552289362 -0.776392684042553 -0.874034193191489 -0.883390505319149 -0.808845326723404 -0.740761926808511 -0.808868467157447 -0.785642199538298 -0.725659675404255 -0.770702854276596 -0.189925617008511 0.0212934615765957 0.0623309539765957 -0.808614365489362 -0.785873554680851 -0.850863589765957 -0.803621121361702 -0.774734500202128 -0.870738770510638 0.0516526093744681 -0.152274498361702 -0.0366987870276596 -0.808159464893617 -0.844742431276596 -0.809985706023404 -0.838099235446809 -0.823020662048936 -0.826225336170213 -0.124720184608511 -0.166025601893617 0.0195583300638298 -0.777663167319149 -0.817172895957447 0.0531228131425532 -0.791111777191489 -0.799296728148936 0.242236562808511 -0.819235335978723 -0.790414437914894 -0.102270828457234 -0.883452461702128 -0.89181155212766 0.142859057319149 0.0604018045106383 -0.0512433710489362 -0.0197837785446808 0.0719526350638298 -0.350212301489362 -0.00128928495744681 -0.148938780648936
1 "standing" 0.26901688754717 -0.0121135613424528 -0.0974845086981132 -0.745451746433962 -0.646539749128302 -0.721410621603774 0.536540597867925 0.13719496559434 0.185835239366038 -0.97616548754717 -0.956152612830189 -0.935735061132075 0.0939076162754717 -0.0254577866932075 -0.0226796200283019 -0.751759673075472 -0.713396481401887 -0.832477997811321 -0.0495817682528302 -0.0740603848584906 0.0950481343584906 -0.782132440188679 -0.787397858301887 -0.772581966377359 -0.0935213623377358 -0.042053524054717 -0.0558452962301887 -0.798868686867925 -0.854776196792453 -0.809125175490566 -0.688759909528302 -0.720644646415094 -0.688759909528302 -0.720644646415094 -0.752885832754717 -0.73777062190566 -0.726496999018868 -0.7464192961 -0.829812081962264 -0.844910427924528 -0.751208503433962 -0.669127589926792 -0.755906928735849 -0.744251597320755 -0.658634026509434 -0.725700510886792 -0.136067890826415 0.0484227457716981 0.130161700050943 -0.765290601209434 -0.729544224415094 -0.820206048867925 -0.760287603426415 -0.715831515830189 -0.843310778603774 0.0236054284811321 -0.116900177198113 -0.0541964238849057 -0.755170849679245 -0.804755046981132 -0.761895202509434 -0.792912059150943 -0.78021021245283 -0.798066738679245 -0.117340400185283 -0.172028778213208 -0.00693613584056604 -0.723288087962264 -0.764116169301887 0.102296870698113 -0.737710252943396 -0.739010035826415 0.220017831849057 -0.782810808264151 -0.768686039830189 -0.105775718890566 -0.849420440415094 -0.850011967735849 0.181096325424528 0.0413244449849057 -0.00321197560377358 0.0406111787358491 0.0425410035792453 -0.364916248679245 -0.0407786651886792 -0.130062360286208
1 "laying" 0.2693700314 -0.0122298348696 -0.106418930926 -0.83353643156 -0.7702873679 -0.81388650662 0.5592621968 0.027638615766574 0.148531366964 -0.9804792366 -0.956934295 -0.9546809028 0.09671615924 -0.0022299614252 -0.02684947457358 -0.846223045 -0.8315897203 -0.891634082 -0.006969152323 -0.090835816432 0.086289545376 -0.8726592394 -0.863847121 -0.83010543694 -0.096101884532 -0.049876806428 -0.04902332944 -0.8782062806 -0.90420474 -0.8671494986 -0.79190412196 -0.81397500864 -0.79190412196 -0.81397500864 -0.84532917408 -0.849591038 -0.8182793591 -0.8354508076 -0.8903921476 -0.89837316 -0.84658195714 -0.79489101254 -0.845936611 -0.82903568308 -0.77265589856 -0.81121601526 -0.178200485404 -0.010832809364 0.041205880862 -0.8565172676 -0.84242121464 -0.8834767306 -0.8493679396 -0.83115122796 -0.8983806052 0.058095430786 -0.175794956786 -0.05551117162 -0.8475738532 -0.8680799962 -0.82402427146 -0.8813698668 -0.8634345968 -0.84844427 -0.130366058921 -0.19913166798 -0.0665371653537 -0.81674443132 -0.841865084 -0.018798476216 -0.8447994128 -0.8564582994 0.21498542901 -0.8523327278 -0.8531283288 -0.09096806404 -0.9013310718 -0.9020120864 0.0905058314984 0.08268405626 -0.10652987674 -0.07742182446 -0.00614649642 -0.3929284638 0.05760929436 -0.0998626513996
2 "walking" 0.107764113983051 -0.0275540841932203 -0.12496346720339 -0.148484485610169 -0.0461079409583051 -0.248623827 0.772566922050847 -0.0999544153898305 -0.0342187066383559 -0.880742524576271 -0.845441931576271 -0.832714911711864 0.148780152740678 0.0057544901779661 -0.00462236825423729 -0.287778344694915 -0.271906724537288 -0.570470188915254 0.0125542454627119 -0.105752169654237 0.0727506010933898 -0.466331067033898 -0.440491341971186 -0.343944622813559 -0.0553376038983051 -0.0705407594745763 -0.0950815743508475 -0.512269667650847 -0.624473558474576 -0.502735100779661 -0.0557762549830508 -0.111024953118644 -0.0557762549830508 -0.111024953118644 -0.33222455749322 -0.275885509219661 -0.222124601084746 -0.367278985084746 -0.570920193508475 -0.600758856101695 -0.198310364984746 -0.098891878279661 -0.350474180084746 -0.131235906762712 -0.0828943437152542 -0.258077310508475 -0.443563142186441 -0.0478520582862712 -0.0540823267135593 -0.300767392388136 -0.298294179132203 -0.527113383254237 -0.340564302647458 -0.2941822161 -0.613420343728814 -0.208912556125424 -0.367884445033898 -0.268922096732203 -0.377957667830508 -0.465789320288136 -0.319086601610169 -0.497685786728814 -0.435577867152542 -0.417961791225424 -0.141073604498305 -0.119929889552034 -0.100033094337288 -0.117569499808475 -0.249753835813559 -0.0250775568440678 -0.249455269152542 -0.319336522452542 0.0424439019830508 -0.430288762884746 -0.438681178254237 -0.0438595910169492 -0.597258984745763 -0.635420172610169 0.0881454882542373 0.444149535284746 -0.0516480613237288 -0.0609522189694915 -0.0670450018983051 -0.595344654576271 0.144095863254237 0.0427909905254237
2 "walking_upstairs" 0.130180291458333 -0.0405735647314583 -0.108086642291667 -0.1215984431875 -0.0430370113958333 -0.229723638572917 0.769897301875 -0.1347739855625 -0.0203178790375 -0.908629114375 -0.878352901541667 -0.858328512916667 0.0833896203479167 -0.01032186601875 -0.0677207045916667 -0.228095105170833 -0.228158475602083 -0.519924746541667 -0.02191397475 -0.117315487604167 0.12093992008125 -0.401770006166667 -0.350083771854167 -0.2741904047875 -0.109272125958333 -0.0835117919239583 -0.142272747854167 -0.45099756075 -0.551538700208333 -0.434823584683333 -0.0340607371125 -0.101904392479167 -0.0340607371125 -0.101904392479167 -0.28245057266875 -0.213389828083333 -0.13687162825625 -0.291158439791667 -0.500647730729167 -0.540066842208333 -0.135900385770833 -0.0838167971916667 -0.313322368166667 -0.118698866833333 -0.08495514086875 -0.251223966916667 -0.39738558152375 -0.0594955765625 -0.0422455500229167 -0.24083430840625 -0.257397962891667 -0.470346507458333 -0.286823564645833 -0.251574194645833 -0.56948483545625 -0.230226312270833 -0.377380837104167 -0.253377672010417 -0.298308291083333 -0.3815340963125 -0.240257454520833 -0.4383568555625 -0.343205282914583 -0.357178282929167 -0.182672242397917 -0.172019513479167 -0.132425485683333 -0.0868040349375 -0.254997967441667 -0.0376624423958333 -0.199876168645833 -0.239531912041667 0.00344992978541667 -0.360164179016667 -0.37216912225 -0.0498512225416667 -0.533567958666667 -0.582717553520833 0.0840457015625 0.467555202291667 0.0104562583333333 -0.0592377819791667 -0.002789560866875 -0.605362611875 0.174263156916667 0.0265126394625
2 "walking_downstairs" 0.12139463806383 -0.0044186121387234 -0.0977115237957447 -0.135256558702128 -0.0252966807638298 -0.239383059842128 0.813168482297872 -0.128026002685957 -0.00818461257446808 -0.87583817106383 -0.836323148361702 -0.83559295787234 0.104806520553191 0.0273034516282979 0.0207186996021277 -0.289580043823404 -0.302333143170213 -0.560989018723404 0.0132027214021277 -0.10462671706383 0.11651040687766 -0.486985452170213 -0.41388087927234 -0.330298598765957 -0.0452240578895745 -0.10968743053617 -0.0793522357148936 -0.505135876553191 -0.613015675148936 -0.494418158034043 -0.0534941542787234 -0.0749368123191489 -0.0534941542787234 -0.0749368123191489 -0.339661130002128 -0.282005423491489 -0.218511674538723 -0.35694761452766 -0.565881239468085 -0.597472432468085 -0.19436464793617 -0.0965667402765957 -0.32811831993617 -0.115090046423404 -0.0544828475531915 -0.256932892851064 -0.470996197323404 -0.0786367083319149 -0.0808258046595745 -0.322612375878723 -0.331960705638298 -0.515555974765957 -0.319910032157447 -0.318800428340426 -0.606256931276596 -0.289751860446809 -0.395276974051064 -0.34492378887234 -0.381416883085106 -0.450899784529787 -0.307031512191489 -0.52293725576383 -0.402098191595745 -0.403813971191489 -0.139011201429787 -0.196708946382979 -0.150869498342553 -0.0955160017553191 -0.212317602276596 -0.0613219357021277 -0.263300168551064 -0.314551935753192 -0.0384405232531915 -0.424700353489362 -0.426451226623404 -0.105492685576596 -0.596309416074468 -0.62908784706383 0.0808664958276596 0.469131030234043 0.0232189588723404 -0.0807234071 -0.111370604191489 -0.613945302553191 0.168993339502128 0.0214712194434043
2 "sitting" 0.0511929848 -0.0266009595456522 -0.113358069526087 -0.265193586641304 -0.161628803893478 -0.283242927263043 0.662024419565217 0.0253095362543478 0.106469626159783 -0.760583438391304 -0.799868497826087 -0.68793945423913 0.163132037717391 0.061707554016087 -0.0346459246326087 -0.412577953968478 -0.398747746691304 -0.642238827608696 0.01577646186 -0.110771176413043 0.134328847756522 -0.549860401413043 -0.525204454391304 -0.428669062869565 -0.0881508761869565 -0.0761309653913043 -0.154479051021739 -0.575813341521739 -0.67829364926087 -0.573158499369565 -0.153888896321739 -0.166023602695652 -0.153888896321739 -0.166023602695652 -0.449915505265217 -0.411451861173913 -0.303688030326087 -0.442248006978261 -0.634094598869565 -0.655029177065217 -0.308877348826087 -0.218552642652174 -0.389934290586957 -0.250074719986957 -0.188721949930435 -0.287989871054348 -0.429096284802174 -0.036736820226087 -0.0487955091786304 -0.424858403604348 -0.430518407413043 -0.60745099173913 -0.453951059021739 -0.405556888893913 -0.676666884782609 -0.183065941869565 -0.354520982 -0.291413898434783 -0.469406090173913 -0.545031631530435 -0.3958767336 -0.5787162245 -0.521530106369565 -0.495013317369565 -0.168001151569565 -0.12861183255 -0.102872901315217 -0.207784947547826 -0.280604680956522 -0.0654556666869565 -0.391792756691304 -0.44364377131087 0.000905149615217391 -0.512321100413043 -0.496329925013043 -0.107989931126087 -0.653963028086956 -0.681618218478261 0.0271978870880435 0.32523149778913 0.0539854321854348 -0.136202342130435 0.0104970931282609 -0.457554631956522 0.0381989484434783 -0.0639963005302174
